age,Dx,Px,mx,qx,lx,dx,Lx,Tx,ex
73,1263,63003,0.0199646099,0.0197672868,82416.0741644587,1629.1421768272,81601.5030760451,1122080.08718313,13.6148208776
74,1236,56727,0.0222984309,0.0220525622,80786.9319876314,1781.5588407373,79896.1525672627,1040478.58410709,12.8792932038
75,1426,55900,0.024981372,0.024673187,79005.3731468941,1949.3143419017,78030.7159759433,960582.431539824,12.1584443346
76,1421,50733,0.0280896259,0.0277005765,77056.0588049924,2134.4972488495,75988.8101805677,882551.715563881,11.4533721196
77,1417,45596,0.03170978,0.0312148717,74921.5615561429,2338.6669290232,73752.2280916313,806562.905383313,10.7654310539
78,1547,42910,0.0359375719,0.0353032159,72582.8946271197,2562.4096030003,71301.6898256195,732810.677291682,10.0961897573
79,1616,38830,0.0408764651,0.0400577554,70020.4850241193,2804.8634595777,68618.0532943305,661508.987466062,9.4473636856
80,1495,34506,0.0466362109,0.0455735227,67215.6215645416,3063.2526553533,65683.995236865,592890.934171732,8.8207312582
81,1708,31395,0.0533280677,0.0519430563,64152.3689091883,3332.2701086535,62486.2338548616,527206.938934867,8.2180431978
82,1694,28819,0.0609369485,0.0591351895,60820.0988005348,3596.608065315,59021.7947678773,464720.705080005,7.6409067766
83,1859,26854,0.0696784358,0.06733262,57223.4907352198,3853.0075549724,55296.9869577336,405698.910312128,7.0897267031
84,1939,25118,0.0796936813,0.0766398264,53370.4831802474,4090.3045641203,51325.3308981872,350401.923354394,6.5654628265
85,2106,23348,0.0911323822,0.0871607967,49280.1786161271,4295.2996289155,47132.5288016694,299076.592456207,6.0689023631
86,2261,21694,0.1041501801,0.0989950063,44984.8789872117,4453.2783774797,42758.2397984718,251944.063654538,5.6006389108
87,2452,19660,0.118904865,0.1122323772,40531.6006097319,4548.9578875124,38257.1216659757,209185.823856066,5.1610550955
88,2403,17269,0.1355511964,0.1269472693,35982.6427222195,4567.8982345574,33698.6936049408,170928.70219009,4.750309851
89,2260,14459,0.1542342166,0.1431916877,31414.7444876621,4498.330280932,29165.5793471961,137230.008585149,4.3683312032
90,2108,11675,0.175081039,0.1609880605,26916.4142067301,4333.2213198629,24749.8035467987,108064.429237953,4.0148152131
91,1883,9401,0.1981912633,0.1803221281,22583.1928868673,4072.2494008473,20547.0681864436,83314.6256911544,3.6892314611
92,1686,7316,0.2236263938,0.2011366608,18510.94348602,3723.2293601122,16649.3288059639,62767.5575047108,3.3908351323
93,1446,5579,0.2513989091,0.2233268463,14787.7141259078,3302.4935596969,13136.4673460593,46118.2286987469,3.1186854375
94,1203,4163,0.2814619115,0.2467382077,11485.2205662109,2833.8427375783,10068.2991974217,32981.7613526876,2.8716698267
95,988,3119,0.3137005281,0.2711677888,8651.3778286325,2345.9749962476,7478.3903305088,22913.4621552659,2.6485332867
96,736,2165,0.3479263642,0.2963690595,6305.402832385,1868.7263071661,5371.0396788019,15435.0718247571,2.4479120898
97,525,1385,0.3838762601,0.3220605587,4436.6765252189,1428.8785203812,3722.2372650283,10064.0321459552,2.2683718519
98,311,820,0.4212163177,0.347937782,3007.7980048377,1046.5265665245,2484.5347215754,6341.7948809269,2.1084510565
99,195,416,0.4595516313,0.373687322,1961.2714383132,732.9022715872,1594.8203025196,3857.2601593515,1.9667140835
100,78,170,0.4984414446,0.3990019023,1228.369166726,490.1216342716,983.3083495902,2262.4398568319,1.8418240364
101,43,105,0.5374186701,0.4235947945,738.2475324544,312.7178118347,581.888626537,1279.1315072417,1.7326593737
102,29,80,0.576012018,0.4472122133,425.5297206196,190.3020881666,330.3786765363,697.2428807047,1.6385292188
103,25,52,0.6137685487,0.4696426154,235.227632453,110.4729205271,179.9911721895,366.8642041684,1.5596135554
104,12,36,0.6502743905,0.4907223138,124.7547119259,61.2199208915,94.1447514802,186.873031979,1.4979236383
105,18,50,0.6851716725,1,63.5347910344,63.5347910344,92.7282804988,92.7282804988,1.4594882424
